city_id,city,state
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Miami,Florida
5,Houston,Texas
6,Dallas,Texas
7,Philadelphia,Pennsylvania
8,Atlanta,Georgia
9,Washington,District of Columbia
10,Boston,Massachusetts
11,Phoenix,Arizona
12,Detroit,Michigan
13,Seattle,Washington
14,San Francisco,California
15,San Diego,California
16,Minneapolis,Minnesota
17,Tampa,Florida
18,Brooklyn,New York
19,Denver,Colorado
20,Queens,New York
21,Riverside,California
22,Las Vegas,Nevada
23,Baltimore,Maryland
24,St. Louis,Missouri
25,Portland,Oregon
26,San Antonio,Texas
27,Sacramento,California
28,Austin,Texas
29,Orlando,Florida
30,San Juan,Puerto Rico
31,San Jose,California
32,Indianapolis,Indiana
33,Pittsburgh,Pennsylvania
34,Cincinnati,Ohio
35,Manhattan,New York
36,Kansas City,Missouri
37,Cleveland,Ohio
38,Columbus,Ohio
39,Bronx,New York
40,Charlotte,North Carolina
41,Virginia Beach,Virginia
42,Jacksonville,Florida
43,Milwaukee,Wisconsin
44,Providence,Rhode Island
45,Nashville,Tennessee
46,Salt Lake City,Utah
47,Raleigh,North Carolina
48,Richmond,Virginia
49,Memphis,Tennessee
50,Oklahoma City,Oklahoma
51,Hartford,Connecticut
52,Louisville,Kentucky
53,Buffalo,New York
54,Fort Worth,Texas
55,Bridgeport,Connecticut
56,New Orleans,Louisiana
57,Tucson,Arizona
58,El Paso,Texas
59,Omaha,Nebraska
60,McAllen,Texas
61,Birmingham,Alabama
62,Albuquerque,New Mexico
63,Tulsa,Oklahoma
64,Charleston,South Carolina
65,Fresno,California
66,Rochester,New York
67,Dayton,Ohio
68,Cape Coral,Florida
69,Provo,Utah
70,Colorado Springs,Colorado
71,Mission Viejo,California
72,Allentown,Pennsylvania
73,Baton Rouge,Louisiana
74,Ogden,Utah
75,Knoxville,Tennessee
76,Grand Rapids,Michigan
77,Columbia,South Carolina
78,Albany,New York
79,Bakersfield,California
80,New Haven,Connecticut
81,Des Moines,Iowa
82,Palm Bay,Florida
83,Akron,Ohio
84,Concord,California
85,Mesa,Arizona
86,Wichita,Kansas
87,Harrisburg,Pennsylvania
88,Staten Island,New York
89,Toledo,Ohio
90,Worcester,Massachusetts
91,Port St. Lucie,Florida
92,Little Rock,Arkansas
93,Madison,Wisconsin
94,Spokane,Washington
95,Long Beach,California
